[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Analysis started at: 2025-11-09 11:12:50 AM
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Version constraints: ['^0.4.24']
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | solc version: v0.4.24
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Callgraph generation started!
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Callgraph generation finished!
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Value Range Analysis started
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Generating return summary for constructor
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Return summary generated for constructor
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | State variable assignement do not exist
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Processed function constructor
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Generating return summary for deploy_and_win
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | We should not consider this kind of return values!
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Return summary generated for deploy_and_win
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Range graph generated
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Processed function deploy_and_win
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Generating return summary for fallback
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Return summary generated for fallback
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | State variable assignement do not exist
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Processed function fallback
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Value Range Analysis took 0.004165 seconds
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Value Range Analysis finished
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Storage dependency graph compostion started!
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Storage dependency graph compostion finished!
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Dependency detection started!
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | TOD dependency detected in file Create_ree2.sol in contract Create_ree2 in by composing functions deploy_and_win and deploy_and_win
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Dependency detection finished!
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Static Analysis took 0.182853 seconds
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Dependency exists
[INFO] | 2025-11-09 11:12:50 AM | analyzer.Create_ree2 | Invoking symbolic executor!
[INFO] | 2025-11-09 11:12:51 AM | analyzer.Create_ree2 | Symbolic execution took 0.851403 seconds
[INFO] | 2025-11-09 11:12:51 AM | analyzer.Create_ree2 | Symbolic execution finished!
[INFO] | 2025-11-09 11:12:51 AM | analyzer.Create_ree2 | Analysis finished!
[INFO] | 2025-11-09 11:12:51 AM | analyzer.Create_ree2 | Analysis took 1.036563 seconds
[INFO] | 2025-11-09 11:12:51 AM | analyzer.Create_ree2 | Analysis finished at: 2025-11-09 11:12:51 AM
