[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Analysis started at: 2025-11-09 11:20:56 AM
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Version constraints: ['^0.5.0']
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | solc version: v0.5.0
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Callgraph generation started!
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Callgraph generation finished!
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Value Range Analysis started
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Range graph generated
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Processed function slitherConstructorConstantVariables
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Generating return summary for constructor
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Return summary generated for constructor
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Range graph generated
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Processed function constructor
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Generating return summary for requestPay
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Return summary generated for requestPay
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Range graph generated
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Processed function requestPay
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Generating return summary for onlyOwner
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Return summary generated for onlyOwner
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Processed function onlyOwner
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Generating return summary for payAll
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Return summary generated for payAll
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Processed function payAll
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Value Range Analysis took 0.015018 seconds
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Value Range Analysis finished
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Storage dependency graph compostion started!
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Storage dependency graph compostion finished!
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Dependency detection started!
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Dependency detection finished!
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Static Analysis took 0.259095 seconds
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Dependency does not exist
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Symbolic execution is not needed!
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Analysis finished!
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Analysis took 0.260008 seconds
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_ree1 | Analysis finished at: 2025-11-09 11:20:56 AM
