[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Analysis started at: 2025-11-09 11:12:56 AM
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Version constraints: ['^0.4.24']
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | solc version: v0.4.24
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Callgraph generation started!
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Callgraph generation finished!
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Value Range Analysis started
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Generating return summary for getRandom
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Return summary generated for getRandom
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | State variable assignement do not exist
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Processed function getRandom
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Generating return summary for constructor
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Return summary generated for constructor
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Range graph generated
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Processed function constructor
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Generating return summary for deposit
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Return summary generated for deposit
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Range graph generated
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Processed function deposit
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Generating return summary for nonReentrant
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Return summary generated for nonReentrant
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Range graph generated
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Processed function nonReentrant
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Generating return summary for nonReentrant
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Return summary generated for nonReentrant
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Range graph generated
[INFO] | 2025-11-09 11:12:56 AM | analyzer.ReadOnly_safe2 | Processed function nonReentrant
