[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Analysis started at: 2025-11-09 11:21:02 AM
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Version constraints: ['^0.5.0']
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | solc version: v0.5.0
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Callgraph generation started!
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Callgraph generation finished!
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Value Range Analysis started
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Generating return summary for slitherConstructorVariables
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Return summary generated for slitherConstructorVariables
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Range graph generated
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Processed function slitherConstructorVariables
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Generating return summary for nonReentrant
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Return summary generated for nonReentrant
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Range graph generated
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Processed function nonReentrant
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Generating return summary for transfer
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Return summary generated for transfer
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Range graph generated
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Processed function transfer
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Generating return summary for withdraw
[INFO] | 2025-11-09 11:21:02 AM | analyzer.CrossMutexMod_safe1 | Return summary generated for withdraw
