[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Analysis started at: 2025-11-09 11:12:44 AM
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Version constraints: ['^0.4.24']
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | solc version: v0.4.24
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Callgraph generation started!
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Callgraph generation finished!
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Value Range Analysis started
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Generating return summary for safeTransfer
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Return summary generated for safeTransfer
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Processed function safeTransfer
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Generating return summary for safeTransferFrom
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Return summary generated for safeTransferFrom
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Processed function safeTransferFrom
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Generating return summary for balanceOf
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Return summary generated for balanceOf
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Processed function balanceOf
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Generating return summary for withdrawFee
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Return summary generated for withdrawFee
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Processed function withdrawFee
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Generating return summary for constructor
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Return summary generated for constructor
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Range graph generated
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Processed function constructor
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Generating return summary for deposit
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Return summary generated for deposit
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Range graph generated
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Processed function deposit
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Generating return summary for withdraw
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Return summary generated for withdraw
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Range graph generated
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Processed function withdraw
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Generating return summary for collectFees
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Return summary generated for collectFees
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Processed function collectFees
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Value Range Analysis took 0.013021 seconds
[INFO] | 2025-11-09 11:12:44 AM | analyzer.TemporalLocker_ree1 | Value Range Analysis finished
