[INFO] | 2025-11-09 11:21:20 AM | analyzer.Block_safe1 | Analysis started at: 2025-11-09 11:21:20 AM
[INFO] | 2025-11-09 11:21:21 AM | analyzer.Block_safe1 | Version constraints: ['^0.5.0']
[INFO] | 2025-11-09 11:21:21 AM | analyzer.Block_safe1 | solc version: v0.5.0
[INFO] | 2025-11-09 11:21:21 AM | analyzer.Block_safe1 | Callgraph generation started!
[INFO] | 2025-11-09 11:21:21 AM | analyzer.Block_safe1 | Callgraph generation finished!
[INFO] | 2025-11-09 11:21:21 AM | analyzer.Block_safe1 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:21:21 AM | analyzer.Block_safe1 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:21:21 AM | analyzer.Block_safe1 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:21:21 AM | analyzer.Block_safe1 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:21:21 AM | analyzer.Block_safe1 | Value Range Analysis started
[INFO] | 2025-11-09 11:21:21 AM | analyzer.Block_safe1 | Generating return summary for noSameBlock
[INFO] | 2025-11-09 11:21:21 AM | analyzer.Block_safe1 | Return summary generated for noSameBlock
[INFO] | 2025-11-09 11:21:21 AM | analyzer.Block_safe1 | Range graph generated
[INFO] | 2025-11-09 11:21:21 AM | analyzer.Block_safe1 | Processed function noSameBlock
[INFO] | 2025-11-09 11:21:21 AM | analyzer.Block_safe1 | Generating return summary for withdraw
[INFO] | 2025-11-09 11:21:21 AM | analyzer.Block_safe1 | Return summary generated for withdraw
