[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Analysis started at: 2025-11-09 11:13:46 AM
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Version constraints: ['^0.4.24']
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | solc version: v0.4.24
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Callgraph generation started!
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Callgraph generation finished!
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Value Range Analysis started
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Generating return summary for nonReentrant
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Return summary generated for nonReentrant
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Range graph generated
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Processed function nonReentrant
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Generating return summary for withdraw
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Return summary generated for withdraw
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Range graph generated
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Processed function withdraw
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Generating return summary for deposit
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Return summary generated for deposit
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Range graph generated
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Processed function deposit
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Value Range Analysis took 0.004053 seconds
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Value Range Analysis finished
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Storage dependency graph compostion started!
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Storage dependency graph compostion finished!
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Dependency detection started!
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | DAO dependency detected in file MutexesMod_ree2.sol in contract MutexesMod_ree2 in by composing functions withdraw and withdraw
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | TOD dependency detected in file MutexesMod_ree2.sol in contract MutexesMod_ree2 in by composing functions withdraw and withdraw
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | TOD dependency detected in file MutexesMod_ree2.sol in contract MutexesMod_ree2 in by composing functions withdraw and deposit
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Dependency detection finished!
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Static Analysis took 0.286169 seconds
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Dependency exists
[INFO] | 2025-11-09 11:13:46 AM | analyzer.MutexesMod_ree2 | Invoking symbolic executor!
[INFO] | 2025-11-09 11:13:47 AM | analyzer.MutexesMod_ree2 | Symbolic execution took 1.596363 seconds
[INFO] | 2025-11-09 11:13:47 AM | analyzer.MutexesMod_ree2 | Symbolic execution finished!
[INFO] | 2025-11-09 11:13:47 AM | analyzer.MutexesMod_ree2 | Analysis finished!
[INFO] | 2025-11-09 11:13:47 AM | analyzer.MutexesMod_ree2 | Analysis took 1.890549 seconds
[INFO] | 2025-11-09 11:13:47 AM | analyzer.MutexesMod_ree2 | Analysis finished at: 2025-11-09 11:13:47 AM
