[INFO] | 2025-11-09 11:13:03 AM | analyzer.OnlyOwner_safe1 | Analysis started at: 2025-11-09 11:13:03 AM
[INFO] | 2025-11-09 11:13:03 AM | analyzer.OnlyOwner_safe1 | Version constraints: ['^0.4.24']
[INFO] | 2025-11-09 11:13:03 AM | analyzer.OnlyOwner_safe1 | solc version: v0.4.24
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Callgraph generation started!
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Callgraph generation finished!
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Value Range Analysis started
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Range graph generated
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Processed function slitherConstructorConstantVariables
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Generating return summary for constructor
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Return summary generated for constructor
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Range graph generated
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Processed function constructor
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Generating return summary for nonReentrant
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Return summary generated for nonReentrant
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Range graph generated
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Processed function nonReentrant
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Generating return summary for onlyOwner
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Return summary generated for onlyOwner
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Processed function onlyOwner
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Generating return summary for payAll
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Return summary generated for payAll
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Range graph generated
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Processed function payAll
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Generating return summary for requestPay
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Return summary generated for requestPay
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Range graph generated
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Processed function requestPay
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Value Range Analysis took 0.008450 seconds
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Value Range Analysis finished
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Storage dependency graph compostion started!
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Storage dependency graph compostion finished!
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Dependency detection started!
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Dependency detection finished!
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Static Analysis took 0.297158 seconds
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Dependency does not exist
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Symbolic execution is not needed!
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Analysis finished!
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Analysis took 0.298197 seconds
[INFO] | 2025-11-09 11:13:04 AM | analyzer.OnlyOwner_safe1 | Analysis finished at: 2025-11-09 11:13:04 AM
