[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Analysis started at: 2025-11-09 11:12:48 AM
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Version constraints: ['^0.4.24']
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | solc version: v0.4.24
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Callgraph generation started!
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Callgraph generation finished!
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Value Range Analysis started
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Generating return summary for constructor
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Return summary generated for constructor
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Range graph generated
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Processed function constructor
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Generating return summary for slitherConstructorVariables
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Return summary generated for slitherConstructorVariables
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Range graph generated
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Processed function slitherConstructorVariables
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Generating return summary for nonReentrant
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Return summary generated for nonReentrant
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Range graph generated
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Processed function nonReentrant
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Generating return summary for takeAll
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Return summary generated for takeAll
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Range graph generated
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Processed function takeAll
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Generating return summary for increase
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Return summary generated for increase
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Range graph generated
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Processed function increase
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Generating return summary for setAdmin
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Return summary generated for setAdmin
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Range graph generated
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Processed function setAdmin
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Generating return summary for onlyAdmin
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Return summary generated for onlyAdmin
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Processed function onlyAdmin
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Generating return summary for setEnabled
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Return summary generated for setEnabled
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Range graph generated
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Processed function setEnabled
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Generating return summary for redeem
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Return summary generated for redeem
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Range graph generated
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Processed function redeem
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Generating return summary for fallback
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Return summary generated for fallback
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Range graph generated
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Processed function fallback
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Value Range Analysis took 0.014117 seconds
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Value Range Analysis finished
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Storage dependency graph compostion started!
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Storage dependency graph compostion finished!
[INFO] | 2025-11-09 11:12:48 AM | analyzer.TemporalVault_safe1 | Dependency detection started!
[INFO] | 2025-11-09 11:12:49 AM | analyzer.TemporalVault_safe1 | DAO dependency detected in file TemporalVault_safe1.sol in contract TemporalVault_safe1 in by composing functions redeem and redeem
[INFO] | 2025-11-09 11:12:49 AM | analyzer.TemporalVault_safe1 | TOD dependency detected in file TemporalVault_safe1.sol in contract TemporalVault_safe1 in by composing functions redeem and redeem
[INFO] | 2025-11-09 11:12:49 AM | analyzer.TemporalVault_safe1 | Dependency detection finished!
[INFO] | 2025-11-09 11:12:49 AM | analyzer.TemporalVault_safe1 | Static Analysis took 0.343200 seconds
[INFO] | 2025-11-09 11:12:49 AM | analyzer.TemporalVault_safe1 | Dependency exists
[INFO] | 2025-11-09 11:12:49 AM | analyzer.TemporalVault_safe1 | Invoking symbolic executor!
[INFO] | 2025-11-09 11:12:50 AM | analyzer.TemporalVault_safe1 | Symbolic execution took 1.266916 seconds
[INFO] | 2025-11-09 11:12:50 AM | analyzer.TemporalVault_safe1 | Symbolic execution finished!
[INFO] | 2025-11-09 11:12:50 AM | analyzer.TemporalVault_safe1 | Analysis finished!
[INFO] | 2025-11-09 11:12:50 AM | analyzer.TemporalVault_safe1 | Analysis took 1.615262 seconds
[INFO] | 2025-11-09 11:12:50 AM | analyzer.TemporalVault_safe1 | Analysis finished at: 2025-11-09 11:12:50 AM
