[INFO] | 2025-11-09 11:20:58 AM | analyzer.CrossDoubleInit_ree1 | Analysis started at: 2025-11-09 11:20:58 AM
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Version constraints: ['^0.5.0']
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | solc version: v0.5.0
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Callgraph generation started!
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Callgraph generation finished!
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Value Range Analysis started
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Generating return summary for constructor
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Return summary generated for constructor
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Range graph generated
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Processed function constructor
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Generating return summary for initializePoolV2
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Return summary generated for initializePoolV2
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Range graph generated
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Processed function initializePoolV2
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Generating return summary for nonReentrant
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Return summary generated for nonReentrant
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Range graph generated
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Processed function nonReentrant
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Generating return summary for withdraw
[INFO] | 2025-11-09 11:20:59 AM | analyzer.CrossDoubleInit_ree1 | Return summary generated for withdraw
