[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Analysis started at: 2025-11-09 11:12:43 AM
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Version constraints: ['^0.4.24']
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | solc version: v0.4.24
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Callgraph generation started!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Callgraph generation finished!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Value Range Analysis started
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Generating return summary for setAllowance
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Return summary generated for setAllowance
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Range graph generated
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Processed function setAllowance
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Generating return summary for isHuman
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Return summary generated for isHuman
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Processed function isHuman
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Generating return summary for bid
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Return summary generated for bid
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Range graph generated
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Processed function bid
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Generating return summary for transferFrom
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Return summary generated for transferFrom
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Range graph generated
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Processed function transferFrom
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Generating return summary for transfer
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Return summary generated for transfer
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Range graph generated
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Processed function transfer
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Value Range Analysis took 0.007479 seconds
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Value Range Analysis finished
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Storage dependency graph compostion started!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Storage dependency graph compostion finished!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Dependency detection started!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Dependency detection finished!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Static Analysis took 0.262449 seconds
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Dependency does not exist
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Symbolic execution is not needed!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Analysis finished!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Analysis took 0.263651 seconds
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_safe1 | Analysis finished at: 2025-11-09 11:12:43 AM
