[INFO] | 2025-11-09 11:12:52 AM | analyzer.ReadOnly_ree1 | Analysis started at: 2025-11-09 11:12:52 AM
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Version constraints: ['^0.4.24']
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | solc version: v0.4.24
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Callgraph generation started!
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Callgraph generation finished!
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Value Range Analysis started
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Generating return summary for rand
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Return summary generated for rand
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Processed function rand
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Generating return summary for constructor
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Return summary generated for constructor
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Range graph generated
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Processed function constructor
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Generating return summary for deposit
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Return summary generated for deposit
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Range graph generated
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Processed function deposit
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Generating return summary for update
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Return summary generated for update
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Range graph generated
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Processed function update
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Generating return summary for withdraw
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Return summary generated for withdraw
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Processed function withdraw
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Value Range Analysis took 0.007620 seconds
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Value Range Analysis finished
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Storage dependency graph compostion started!
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Storage dependency graph compostion finished!
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Dependency detection started!
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | TOD dependency detected in file ReadOnly_ree1.sol in contract ReadOnly_ree1 in by composing functions withdraw and deposit
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Dependency detection finished!
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Static Analysis took 0.267951 seconds
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Dependency exists
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Invoking symbolic executor!
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Symbolic execution took 0.556596 seconds
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Symbolic execution finished!
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Analysis finished!
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Analysis took 0.826754 seconds
[INFO] | 2025-11-09 11:12:53 AM | analyzer.ReadOnly_ree1 | Analysis finished at: 2025-11-09 11:12:53 AM
