[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Analysis started at: 2025-11-09 11:20:50 AM
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Version constraints: ['^0.5.0']
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | solc version: v0.5.0
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Callgraph generation started!
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Callgraph generation finished!
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Value Range Analysis started
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Generating return summary for getRandom
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Return summary generated for getRandom
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | State variable assignement do not exist
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Processed function getRandom
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Generating return summary for constructor
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Return summary generated for constructor
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Range graph generated
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Processed function constructor
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Generating return summary for deposit
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Return summary generated for deposit
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Range graph generated
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Processed function deposit
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Generating return summary for nonReentrant
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Return summary generated for nonReentrant
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Range graph generated
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Processed function nonReentrant
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Generating return summary for nonReentrant
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Return summary generated for nonReentrant
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Range graph generated
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Processed function nonReentrant
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Generating return summary for nonReentrantView
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Return summary generated for nonReentrantView
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | State variable assignement do not exist
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Processed function nonReentrantView
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Generating return summary for update
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Return summary generated for update
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Range graph generated
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Processed function update
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Generating return summary for getFix
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Return summary generated for getFix
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | State variable assignement do not exist
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Processed function getFix
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Generating return summary for getRandomness
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Return summary generated for getRandomness
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | State variable assignement do not exist
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Processed function getRandomness
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Generating return summary for withdraw
[INFO] | 2025-11-09 11:20:50 AM | analyzer.ReadOnly_safe2 | Return summary generated for withdraw
