[INFO] | 2025-11-09 11:12:42 AM | analyzer.Human_ree1 | Analysis started at: 2025-11-09 11:12:42 AM
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Version constraints: ['^0.4.24']
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | solc version: v0.4.24
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Callgraph generation started!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Callgraph generation finished!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Value Range Analysis started
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Generating return summary for setAllowance
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Return summary generated for setAllowance
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Range graph generated
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Processed function setAllowance
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Generating return summary for isHuman
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Return summary generated for isHuman
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Processed function isHuman
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Generating return summary for bid
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Return summary generated for bid
[WARNING] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Can there be this kind of variables
[WARNING] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Can there be this kind of variables
[WARNING] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Can there be this kind of variables
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Range graph generated
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Processed function bid
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Generating return summary for transferFrom
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Return summary generated for transferFrom
[WARNING] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Can there be this kind of variables
[WARNING] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Can there be this kind of variables
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Range graph generated
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Processed function transferFrom
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Generating return summary for transfer
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Return summary generated for transfer
[WARNING] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Can there be this kind of variables
[WARNING] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Can there be this kind of variables
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Range graph generated
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Processed function transfer
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Value Range Analysis took 0.013835 seconds
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Value Range Analysis finished
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Storage dependency graph compostion started!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Storage dependency graph compostion finished!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | Dependency detection started!
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | DAO dependency detected in file Human_ree1.sol in contract Human_ree1 in by composing functions transfer and transfer
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | DAO dependency detected in file Human_ree1.sol in contract Human_ree1 in by composing functions transfer and transferFrom
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | DAO dependency detected in file Human_ree1.sol in contract Human_ree1 in by composing functions transferFrom and transfer
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | DAO dependency detected in file Human_ree1.sol in contract Human_ree1 in by composing functions transferFrom and transferFrom
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | TOD dependency detected in file Human_ree1.sol in contract Human_ree1 in by composing functions transfer and bid
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | TOD dependency detected in file Human_ree1.sol in contract Human_ree1 in by composing functions transfer and transfer
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | TOD dependency detected in file Human_ree1.sol in contract Human_ree1 in by composing functions transfer and setAllowance
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | TOD dependency detected in file Human_ree1.sol in contract Human_ree1 in by composing functions transfer and transferFrom
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | TOD dependency detected in file Human_ree1.sol in contract Human_ree1 in by composing functions transferFrom and bid
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | TOD dependency detected in file Human_ree1.sol in contract Human_ree1 in by composing functions transferFrom and transfer
[INFO] | 2025-11-09 11:12:43 AM | analyzer.Human_ree1 | TOD dependency detected in file Human_ree1.sol in contract Human_ree1 in by composing functions transferFrom and setAllowance
[INFO] | 2025-11-09 11:12:44 AM | analyzer.Human_ree1 | TOD dependency detected in file Human_ree1.sol in contract Human_ree1 in by composing functions transferFrom and transferFrom
[INFO] | 2025-11-09 11:12:44 AM | analyzer.Human_ree1 | Dependency detection finished!
[INFO] | 2025-11-09 11:12:44 AM | analyzer.Human_ree1 | Static Analysis took 1.209864 seconds
[INFO] | 2025-11-09 11:12:44 AM | analyzer.Human_ree1 | Dependency exists
[INFO] | 2025-11-09 11:12:44 AM | analyzer.Human_ree1 | Invoking symbolic executor!
[INFO] | 2025-11-09 11:12:46 AM | analyzer.Human_ree1 | Symbolic execution took 2.382427 seconds
[INFO] | 2025-11-09 11:12:46 AM | analyzer.Human_ree1 | Symbolic execution finished!
[INFO] | 2025-11-09 11:12:46 AM | analyzer.Human_ree1 | Analysis finished!
[INFO] | 2025-11-09 11:12:46 AM | analyzer.Human_ree1 | Analysis took 3.595583 seconds
[INFO] | 2025-11-09 11:12:46 AM | analyzer.Human_ree1 | Analysis finished at: 2025-11-09 11:12:46 AM
