[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Analysis started at: 2025-11-09 11:20:56 AM
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Version constraints: ['^0.5.0']
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | solc version: v0.5.0
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Callgraph generation started!
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Callgraph generation finished!
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Value Range Analysis started
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Range graph generated
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Processed function slitherConstructorConstantVariables
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Generating return summary for constructor
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Return summary generated for constructor
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Range graph generated
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Processed function constructor
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Generating return summary for onlyOwner
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Return summary generated for onlyOwner
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Processed function onlyOwner
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Generating return summary for nonReentrant
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Return summary generated for nonReentrant
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Range graph generated
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Processed function nonReentrant
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Generating return summary for payAll
[INFO] | 2025-11-09 11:20:56 AM | analyzer.OnlyOwner_safe1 | Return summary generated for payAll
