[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Analysis started at: 2025-11-09 11:13:09 AM
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Version constraints: ['^0.4.24']
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | solc version: v0.4.24
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Callgraph generation started!
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Callgraph generation finished!
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Value Range Analysis started
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Generating return summary for slitherConstructorVariables
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Return summary generated for slitherConstructorVariables
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Range graph generated
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Processed function slitherConstructorVariables
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Generating return summary for nonReentrant
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Return summary generated for nonReentrant
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Range graph generated
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Processed function nonReentrant
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Generating return summary for sendMoney
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Return summary generated for sendMoney
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Processed function sendMoney
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Generating return summary for withdraw
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Return summary generated for withdraw
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Range graph generated
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Processed function withdraw
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Generating return summary for deposit
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Return summary generated for deposit
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Range graph generated
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Processed function deposit
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Value Range Analysis took 0.013774 seconds
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Value Range Analysis finished
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Storage dependency graph compostion started!
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Storage dependency graph compostion finished!
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Dependency detection started!
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Dependency detection finished!
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Static Analysis took 0.195118 seconds
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Dependency does not exist
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Symbolic execution is not needed!
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Analysis finished!
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Analysis took 0.196086 seconds
[INFO] | 2025-11-09 11:13:09 AM | analyzer.CrossMutexModOrder_ree1 | Analysis finished at: 2025-11-09 11:13:09 AM
