filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
handcrafted_tests/src/0_4/single-function/low-level-call/to-sender/guard/block-number/Block_ree1.sol,Block_ree1.sol,ccc,solidity,2025/09/19,20251108_1113,1762601358.2431202,53.3369619846344,0,"{A_deterministic_or_predictable_value_may_be_used_as_bad_random_number,Reentrancy_Vulnerability}","{Could not find the scope address needed to resolve the call address.value,Parsing of type class SolidityParser$PragmaDirectiveContext is not supported (yet)}",{},{}
handcrafted_tests/src/0_5/single-function/low-level-call/to-sender/guard/block-number/Block_ree1.sol,Block_ree1.sol,ccc,solidity,2025/09/19,20251108_1113,1762601467.280006,48.0338830947876,0,"{A_deterministic_or_predictable_value_may_be_used_as_bad_random_number,Reentrancy_Vulnerability}","{Could not find the scope address needed to resolve the call address.value,Parsing of type class SolidityParser$PragmaDirectiveContext is not supported (yet)}",{},{}
handcrafted_tests/src/0_8/single-function/low-level-call/to-sender/guard/block-number/Block_ree1.sol,Block_ree1.sol,ccc,solidity,2025/09/19,20251108_1113,1762601267.2059088,47.48548984527588,0,{},"{Could not resolve callee of unsupported type class de.fraunhofer.aisec.cpg.frontends.solidity.nodes.SpecifiedExpression,Parsing of type class SolidityParser$PragmaDirectiveContext is not supported (yet)}",{},{}
handcrafted_tests/src/0_4/single-function/low-level-call/to-sender/guard/block-number/Block_safe1.sol,Block_safe1.sol,ccc,solidity,2025/09/19,20251108_1113,1762616439.4145637,44.885600328445435,0,"{A_deterministic_or_predictable_value_may_be_used_as_bad_random_number,Reentrancy_Vulnerability}","{Could not find the scope address needed to resolve the call address.value,Parsing of type class SolidityParser$PragmaDirectiveContext is not supported (yet)}",{},{}
handcrafted_tests/src/0_5/single-function/low-level-call/to-sender/guard/block-number/Block_safe1.sol,Block_safe1.sol,ccc,solidity,2025/09/19,20251108_1113,1762613225.2891104,41.26705861091614,0,"{A_deterministic_or_predictable_value_may_be_used_as_bad_random_number,Reentrancy_Vulnerability}","{Could not find the scope address needed to resolve the call address.value,Parsing of type class SolidityParser$PragmaDirectiveContext is not supported (yet)}",{},{}
handcrafted_tests/src/0_8/single-function/low-level-call/to-sender/guard/block-number/Block_safe1.sol,Block_safe1.sol,ccc,solidity,2025/09/19,20251108_1113,1762606732.1569555,39.79151630401611,0,{},"{Could not resolve callee of unsupported type class de.fraunhofer.aisec.cpg.frontends.solidity.nodes.SpecifiedExpression,Parsing of type class SolidityParser$PragmaDirectiveContext is not supported (yet)}",{},{}
handcrafted_tests/src/0_4/single-function/low-level-call/to-sender/guard/block-number/Block_safe2.sol,Block_safe2.sol,ccc,solidity,2025/09/19,20251108_1113,1762612348.9723296,55.80916118621826,0,{A_deterministic_or_predictable_value_may_be_used_as_bad_random_number},"{Could not find the scope address needed to resolve the call address.value,Parsing of type class SolidityParser$PragmaDirectiveContext is not supported (yet)}",{},{}
handcrafted_tests/src/0_5/single-function/low-level-call/to-sender/guard/block-number/Block_safe2.sol,Block_safe2.sol,ccc,solidity,2025/09/19,20251108_1113,1762600618.9050722,39.029622077941895,0,{A_deterministic_or_predictable_value_may_be_used_as_bad_random_number},"{Could not find the scope address needed to resolve the call address.value,Parsing of type class SolidityParser$PragmaDirectiveContext is not supported (yet)}",{},{}
handcrafted_tests/src/0_8/single-function/low-level-call/to-sender/guard/block-number/Block_safe2.sol,Block_safe2.sol,ccc,solidity,2025/09/19,20251108_1113,1762605299.0884976,33.18805003166199,0,{},"{Could not resolve callee of unsupported type class de.fraunhofer.aisec.cpg.frontends.solidity.nodes.SpecifiedExpression,Parsing of type class SolidityParser$PragmaDirectiveContext is not supported (yet)}",{},{}
handcrafted_tests/src/0_4/always-safe/constructor/CallCons_safe1.sol,CallCons_safe1.sol,ccc,solidity,2025/09/19,20251108_1113,1762608304.710891,37.54798245429993,0,{},"{Could not find the scope address needed to resolve the call address.value,Parsing of type class SolidityParser$PragmaDirectiveContext is not supported (yet)}",{},{}
handcrafted_tests/src/0_5/always-safe/constructor/CallCons_safe1.sol,CallCons_safe1.sol,ccc,solidity,2025/09/19,20251108_1113,1762603922.6916199,36.50446629524231,0,{},"{Could not find the scope UNKNOWN needed to resolve the call UNKNOWN.value,Parsing of type class SolidityParser$PragmaDirectiveContext is not supported (yet)}",{},{}
handcrafted_tests/src/0_8/always-safe/constructor/CallCons_safe1.sol,CallCons_safe1.sol,ccc,solidity,2025/09/19,20251108_1113,1762602744.2519226,50.024346590042114,0,{},"{Could not resolve callee of unsupported type class de.fraunhofer.aisec.cpg.frontends.solidity.nodes.SpecifiedExpression,Parsing of type class SolidityParser$PragmaDirectiveContext is not supported (yet)}",{},{}
