[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Analysis started at: 2025-11-09 11:12:47 AM
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Version constraints: ['^0.4.24']
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | solc version: v0.4.24
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Callgraph generation started!
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Callgraph generation finished!
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Value Range Analysis started
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Generating return summary for constructor
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Return summary generated for constructor
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Range graph generated
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Processed function constructor
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Generating return summary for slitherConstructorVariables
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Return summary generated for slitherConstructorVariables
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Range graph generated
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Processed function slitherConstructorVariables
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Generating return summary for nonReentrant
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Return summary generated for nonReentrant
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Range graph generated
[INFO] | 2025-11-09 11:12:47 AM | analyzer.TemporalVault_ree2 | Processed function nonReentrant
