[INFO] | 2025-11-09 11:13:51 AM | analyzer.MutexesMod_safe3 | Analysis started at: 2025-11-09 11:13:51 AM
[INFO] | 2025-11-09 11:13:51 AM | analyzer.MutexesMod_safe3 | Version constraints: ['^0.4.24']
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | solc version: v0.4.24
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Callgraph generation started!
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Callgraph generation finished!
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Value Range Analysis started
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Generating return summary for nonReentrant
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Return summary generated for nonReentrant
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Range graph generated
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Processed function nonReentrant
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Generating return summary for withdraw
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Return summary generated for withdraw
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Range graph generated
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Processed function withdraw
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Generating return summary for deposit
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Return summary generated for deposit
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Range graph generated
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Processed function deposit
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Value Range Analysis took 0.007993 seconds
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Value Range Analysis finished
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Storage dependency graph compostion started!
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Storage dependency graph compostion finished!
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Dependency detection started!
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | DAO dependency detected in file MutexesMod_safe3.sol in contract MutexesMod_safe3 in by composing functions withdraw and withdraw
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | DAO dependency detected in file MutexesMod_safe3.sol in contract MutexesMod_safe3 in by composing functions withdraw and deposit
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | TOD dependency detected in file MutexesMod_safe3.sol in contract MutexesMod_safe3 in by composing functions withdraw and withdraw
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | TOD dependency detected in file MutexesMod_safe3.sol in contract MutexesMod_safe3 in by composing functions withdraw and deposit
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Dependency detection finished!
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Static Analysis took 0.489467 seconds
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Dependency exists
[INFO] | 2025-11-09 11:13:52 AM | analyzer.MutexesMod_safe3 | Invoking symbolic executor!
[INFO] | 2025-11-09 11:13:54 AM | analyzer.MutexesMod_safe3 | Symbolic execution took 1.894649 seconds
[INFO] | 2025-11-09 11:13:54 AM | analyzer.MutexesMod_safe3 | Symbolic execution finished!
[INFO] | 2025-11-09 11:13:54 AM | analyzer.MutexesMod_safe3 | Analysis finished!
[INFO] | 2025-11-09 11:13:54 AM | analyzer.MutexesMod_safe3 | Analysis took 2.386943 seconds
[INFO] | 2025-11-09 11:13:54 AM | analyzer.MutexesMod_safe3 | Analysis finished at: 2025-11-09 11:13:54 AM
