[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Analysis started at: 2025-11-09 11:21:01 AM
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Version constraints: ['^0.5.0']
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | solc version: v0.5.0
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Callgraph generation started!
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Callgraph generation finished!
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Value Range Analysis started
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Generating return summary for slitherConstructorVariables
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Return summary generated for slitherConstructorVariables
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Range graph generated
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Processed function slitherConstructorVariables
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Generating return summary for nonReentrant
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Return summary generated for nonReentrant
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Range graph generated
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Processed function nonReentrant
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Generating return summary for transfer
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Return summary generated for transfer
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Range graph generated
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Processed function transfer
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Generating return summary for withdraw
[INFO] | 2025-11-09 11:21:01 AM | analyzer.CrossMutexMod_ree3 | Return summary generated for withdraw
