[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Analysis started at: 2025-11-09 11:20:39 AM
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Version constraints: ['^0.5.0']
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | solc version: v0.5.0
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Callgraph generation started!
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Callgraph generation finished!
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Value Range Analysis started
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Generating return summary for safeTransfer
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Return summary generated for safeTransfer
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Processed function safeTransfer
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Generating return summary for safeTransferFrom
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Return summary generated for safeTransferFrom
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Processed function safeTransferFrom
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Generating return summary for balanceOf
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Return summary generated for balanceOf
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Processed function balanceOf
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Generating return summary for withdrawFee
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Return summary generated for withdrawFee
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | State variable assignement do not exist
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Processed function withdrawFee
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Generating return summary for constructor
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Return summary generated for constructor
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Range graph generated
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Processed function constructor
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Generating return summary for nonReentrant
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Return summary generated for nonReentrant
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Range graph generated
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Processed function nonReentrant
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Generating return summary for deposit
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Return summary generated for deposit
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Range graph generated
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Processed function deposit
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Generating return summary for withdraw
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Return summary generated for withdraw
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Range graph generated
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Processed function withdraw
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Generating return summary for collectFees
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Return summary generated for collectFees
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Range graph generated
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Processed function collectFees
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Value Range Analysis took 0.013616 seconds
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Value Range Analysis finished
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Storage dependency graph compostion started!
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Storage dependency graph compostion finished!
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | Dependency detection started!
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | DAO dependency detected in file TemporalLocker_safe1.sol in contract TemporalLocker_safe1 in by composing functions deposit and deposit
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | DAO dependency detected in file TemporalLocker_safe1.sol in contract TemporalLocker_safe1 in by composing functions deposit and withdraw
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | DAO dependency detected in file TemporalLocker_safe1.sol in contract TemporalLocker_safe1 in by composing functions deposit and collectFees
[INFO] | 2025-11-09 11:20:39 AM | analyzer.TemporalLocker_safe1 | DAO dependency detected in file TemporalLocker_safe1.sol in contract TemporalLocker_safe1 in by composing functions withdraw and deposit
[INFO] | 2025-11-09 11:20:40 AM | analyzer.TemporalLocker_safe1 | DAO dependency detected in file TemporalLocker_safe1.sol in contract TemporalLocker_safe1 in by composing functions withdraw and withdraw
[INFO] | 2025-11-09 11:20:40 AM | analyzer.TemporalLocker_safe1 | DAO dependency detected in file TemporalLocker_safe1.sol in contract TemporalLocker_safe1 in by composing functions withdraw and collectFees
[INFO] | 2025-11-09 11:20:40 AM | analyzer.TemporalLocker_safe1 | DAO dependency detected in file TemporalLocker_safe1.sol in contract TemporalLocker_safe1 in by composing functions collectFees and deposit
[INFO] | 2025-11-09 11:20:40 AM | analyzer.TemporalLocker_safe1 | DAO dependency detected in file TemporalLocker_safe1.sol in contract TemporalLocker_safe1 in by composing functions collectFees and deposit
[INFO] | 2025-11-09 11:20:40 AM | analyzer.TemporalLocker_safe1 | DAO dependency detected in file TemporalLocker_safe1.sol in contract TemporalLocker_safe1 in by composing functions collectFees and deposit
[INFO] | 2025-11-09 11:20:40 AM | analyzer.TemporalLocker_safe1 | DAO dependency detected in file TemporalLocker_safe1.sol in contract TemporalLocker_safe1 in by composing functions collectFees and withdraw
[INFO] | 2025-11-09 11:20:40 AM | analyzer.TemporalLocker_safe1 | DAO dependency detected in file TemporalLocker_safe1.sol in contract TemporalLocker_safe1 in by composing functions collectFees and withdraw
[INFO] | 2025-11-09 11:20:40 AM | analyzer.TemporalLocker_safe1 | DAO dependency detected in file TemporalLocker_safe1.sol in contract TemporalLocker_safe1 in by composing functions collectFees and withdraw
[INFO] | 2025-11-09 11:20:40 AM | analyzer.TemporalLocker_safe1 | DAO dependency detected in file TemporalLocker_safe1.sol in contract TemporalLocker_safe1 in by composing functions collectFees and collectFees
[INFO] | 2025-11-09 11:20:40 AM | analyzer.TemporalLocker_safe1 | DAO dependency detected in file TemporalLocker_safe1.sol in contract TemporalLocker_safe1 in by composing functions collectFees and collectFees
